video_id,split,label,is_anomaly,video_score,n_segments,k_used
Abuse002_x264,validation,Abuse,1,0.2775295674800873,5,1
Abuse008_x264,validation,Abuse,1,0.2772887110710144,50,5
Abuse015_x264,test,Abuse,1,0.2772887110710144,49,5
Abuse016_x264,test,Abuse,1,0.2775295674800873,8,1
Abuse018_x264,test,Abuse,1,0.2775228023529053,15,2
Abuse043_x264,validation,Abuse,1,0.2769371767838796,24,3
Arrest008_x264,test,Arrest,1,0.2777286544442177,39,4
Arrest009_x264,validation,Arrest,1,0.2775295674800873,10,1
Arrest011_x264,validation,Arrest,1,0.2775228023529053,13,2
Arrest032_x264,test,Arrest,1,0.2775295674800873,10,1
Arrest040_x264,validation,Arrest,1,0.2775228023529053,11,2
Arrest043_x264,test,Arrest,1,0.2772887110710144,50,5
Assault002_x264,validation,Assault,1,0.2775228023529053,15,2
Assault003_x264,validation,Assault,1,0.27838289737701416,27,3
Assault007_x264,validation,Assault,1,0.2775228023529053,12,2
Assault017_x264,test,Assault,1,0.2775228023529053,15,2
Assault018_x264,test,Assault,1,0.2730002999305725,2,1
Assault037_x264,test,Assault,1,0.2775228023529053,20,2
Burglary004_x264,validation,Burglary,1,0.2775228023529053,11,2
Burglary031_x264,test,Burglary,1,0.2777286544442177,39,4
Burglary082_x264,test,Burglary,1,0.2775228023529053,17,2
Burglary084_x264,validation,Burglary,1,0.27838289737701416,28,3
Burglary090_x264,validation,Burglary,1,0.2775228023529053,17,2
Burglary097_x264,test,Burglary,1,0.2730002999305725,1,1
Explosion001_x264,test,Explosion,1,0.2775295674800873,4,1
Explosion015_x264,validation,Explosion,1,0.2775295674800873,5,1
Explosion018_x264,test,Explosion,1,0.2775295674800873,9,1
Explosion030_x264,validation,Explosion,1,0.2775228023529053,20,2
Explosion032_x264,validation,Explosion,1,0.2775228023529053,13,2
Explosion040_x264,test,Explosion,1,0.27838289737701416,28,3
Fighting012_x264,test,Fighting,1,0.2775295674800873,7,1
Fighting013_x264,validation,Fighting,1,0.2775295674800873,9,1
Fighting016_x264,test,Fighting,1,0.2775228023529053,18,2
Fighting021_x264,test,Fighting,1,0.2769371767838796,22,3
Fighting025_x264,validation,Fighting,1,0.27838289737701416,29,3
Fighting031_x264,validation,Fighting,1,0.2772887110710144,50,5
Normal_Videos065_x264,validation,NormalVideos,0,0.2775295674800873,5,1
Normal_Videos068_x264,test,NormalVideos,0,0.2775228023529053,11,2
