segment_uid,split,class,video_id,segment_id,num_frames,segment_path
train_Abuse_Abuse001_x264_seg_0000,train,Abuse,Abuse001_x264,seg_0000,16,/content/data/segments_16/train/Abuse/Abuse001_x264/seg_0000
train_Abuse_Abuse001_x264_seg_0001,train,Abuse,Abuse001_x264,seg_0001,16,/content/data/segments_16/train/Abuse/Abuse001_x264/seg_0001
train_Abuse_Abuse001_x264_seg_0002,train,Abuse,Abuse001_x264,seg_0002,16,/content/data/segments_16/train/Abuse/Abuse001_x264/seg_0002
train_Abuse_Abuse001_x264_seg_0003,train,Abuse,Abuse001_x264,seg_0003,16,/content/data/segments_16/train/Abuse/Abuse001_x264/seg_0003
train_Abuse_Abuse001_x264_seg_0004,train,Abuse,Abuse001_x264,seg_0004,16,/content/data/segments_16/train/Abuse/Abuse001_x264/seg_0004
train_Abuse_Abuse001_x264_seg_0005,train,Abuse,Abuse001_x264,seg_0005,16,/content/data/segments_16/train/Abuse/Abuse001_x264/seg_0005
train_Abuse_Abuse001_x264_seg_0006,train,Abuse,Abuse001_x264,seg_0006,16,/content/data/segments_16/train/Abuse/Abuse001_x264/seg_0006
train_Abuse_Abuse001_x264_seg_0007,train,Abuse,Abuse001_x264,seg_0007,16,/content/data/segments_16/train/Abuse/Abuse001_x264/seg_0007
train_Abuse_Abuse001_x264_seg_0008,train,Abuse,Abuse001_x264,seg_0008,16,/content/data/segments_16/train/Abuse/Abuse001_x264/seg_0008
train_Abuse_Abuse001_x264_seg_0009,train,Abuse,Abuse001_x264,seg_0009,16,/content/data/segments_16/train/Abuse/Abuse001_x264/seg_0009
train_Abuse_Abuse001_x264_seg_0010,train,Abuse,Abuse001_x264,seg_0010,16,/content/data/segments_16/train/Abuse/Abuse001_x264/seg_0010
train_Abuse_Abuse001_x264_seg_0011,train,Abuse,Abuse001_x264,seg_0011,16,/content/data/segments_16/train/Abuse/Abuse001_x264/seg_0011
train_Abuse_Abuse001_x264_seg_0012,train,Abuse,Abuse001_x264,seg_0012,16,/content/data/segments_16/train/Abuse/Abuse001_x264/seg_0012
train_Abuse_Abuse001_x264_seg_0013,train,Abuse,Abuse001_x264,seg_0013,16,/content/data/segments_16/train/Abuse/Abuse001_x264/seg_0013
train_Abuse_Abuse001_x264_seg_0014,train,Abuse,Abuse001_x264,seg_0014,16,/content/data/segments_16/train/Abuse/Abuse001_x264/seg_0014
train_Abuse_Abuse001_x264_seg_0015,train,Abuse,Abuse001_x264,seg_0015,16,/content/data/segments_16/train/Abuse/Abuse001_x264/seg_0015
train_Abuse_Abuse001_x264_seg_0016,train,Abuse,Abuse001_x264,seg_0016,16,/content/data/segments_16/train/Abuse/Abuse001_x264/seg_0016
train_Abuse_Abuse002_x264_seg_0000,train,Abuse,Abuse002_x264,seg_0000,16,/content/data/segments_16/train/Abuse/Abuse002_x264/seg_0000
train_Abuse_Abuse002_x264_seg_0001,train,Abuse,Abuse002_x264,seg_0001,16,/content/data/segments_16/train/Abuse/Abuse002_x264/seg_0001
train_Abuse_Abuse002_x264_seg_0002,train,Abuse,Abuse002_x264,seg_0002,16,/content/data/segments_16/train/Abuse/Abuse002_x264/seg_0002
train_Abuse_Abuse002_x264_seg_0003,train,Abuse,Abuse002_x264,seg_0003,16,/content/data/segments_16/train/Abuse/Abuse002_x264/seg_0003
train_Abuse_Abuse002_x264_seg_0004,train,Abuse,Abuse002_x264,seg_0004,16,/content/data/segments_16/train/Abuse/Abuse002_x264/seg_0004
train_Arrest_Arrest002_x264_seg_0000,train,Arrest,Arrest002_x264,seg_0000,16,/content/data/segments_16/train/Arrest/Arrest002_x264/seg_0000
train_Arrest_Arrest002_x264_seg_0001,train,Arrest,Arrest002_x264,seg_0001,16,/content/data/segments_16/train/Arrest/Arrest002_x264/seg_0001
train_Arrest_Arrest002_x264_seg_0002,train,Arrest,Arrest002_x264,seg_0002,16,/content/data/segments_16/train/Arrest/Arrest002_x264/seg_0002
train_Arrest_Arrest002_x264_seg_0003,train,Arrest,Arrest002_x264,seg_0003,16,/content/data/segments_16/train/Arrest/Arrest002_x264/seg_0003
train_Arrest_Arrest002_x264_seg_0004,train,Arrest,Arrest002_x264,seg_0004,16,/content/data/segments_16/train/Arrest/Arrest002_x264/seg_0004
train_Arrest_Arrest002_x264_seg_0005,train,Arrest,Arrest002_x264,seg_0005,16,/content/data/segments_16/train/Arrest/Arrest002_x264/seg_0005
train_Arrest_Arrest002_x264_seg_0006,train,Arrest,Arrest002_x264,seg_0006,16,/content/data/segments_16/train/Arrest/Arrest002_x264/seg_0006
train_Arrest_Arrest002_x264_seg_0007,train,Arrest,Arrest002_x264,seg_0007,16,/content/data/segments_16/train/Arrest/Arrest002_x264/seg_0007
train_Arrest_Arrest002_x264_seg_0008,train,Arrest,Arrest002_x264,seg_0008,16,/content/data/segments_16/train/Arrest/Arrest002_x264/seg_0008
train_Arrest_Arrest002_x264_seg_0009,train,Arrest,Arrest002_x264,seg_0009,16,/content/data/segments_16/train/Arrest/Arrest002_x264/seg_0009
train_Arrest_Arrest002_x264_seg_0010,train,Arrest,Arrest002_x264,seg_0010,16,/content/data/segments_16/train/Arrest/Arrest002_x264/seg_0010
train_Arrest_Arrest003_x264_seg_0000,train,Arrest,Arrest003_x264,seg_0000,16,/content/data/segments_16/train/Arrest/Arrest003_x264/seg_0000
train_Arrest_Arrest003_x264_seg_0001,train,Arrest,Arrest003_x264,seg_0001,16,/content/data/segments_16/train/Arrest/Arrest003_x264/seg_0001
train_Arrest_Arrest003_x264_seg_0002,train,Arrest,Arrest003_x264,seg_0002,16,/content/data/segments_16/train/Arrest/Arrest003_x264/seg_0002
train_Arrest_Arrest003_x264_seg_0003,train,Arrest,Arrest003_x264,seg_0003,16,/content/data/segments_16/train/Arrest/Arrest003_x264/seg_0003
train_Arrest_Arrest003_x264_seg_0004,train,Arrest,Arrest003_x264,seg_0004,16,/content/data/segments_16/train/Arrest/Arrest003_x264/seg_0004
train_Arrest_Arrest003_x264_seg_0005,train,Arrest,Arrest003_x264,seg_0005,16,/content/data/segments_16/train/Arrest/Arrest003_x264/seg_0005
train_Arrest_Arrest003_x264_seg_0006,train,Arrest,Arrest003_x264,seg_0006,16,/content/data/segments_16/train/Arrest/Arrest003_x264/seg_0006
train_Arrest_Arrest003_x264_seg_0007,train,Arrest,Arrest003_x264,seg_0007,16,/content/data/segments_16/train/Arrest/Arrest003_x264/seg_0007
train_Arrest_Arrest003_x264_seg_0008,train,Arrest,Arrest003_x264,seg_0008,16,/content/data/segments_16/train/Arrest/Arrest003_x264/seg_0008
train_Arrest_Arrest003_x264_seg_0009,train,Arrest,Arrest003_x264,seg_0009,16,/content/data/segments_16/train/Arrest/Arrest003_x264/seg_0009
train_Arrest_Arrest003_x264_seg_0010,train,Arrest,Arrest003_x264,seg_0010,16,/content/data/segments_16/train/Arrest/Arrest003_x264/seg_0010
train_Arrest_Arrest003_x264_seg_0011,train,Arrest,Arrest003_x264,seg_0011,16,/content/data/segments_16/train/Arrest/Arrest003_x264/seg_0011
train_Arrest_Arrest003_x264_seg_0012,train,Arrest,Arrest003_x264,seg_0012,16,/content/data/segments_16/train/Arrest/Arrest003_x264/seg_0012
train_Arrest_Arrest003_x264_seg_0013,train,Arrest,Arrest003_x264,seg_0013,16,/content/data/segments_16/train/Arrest/Arrest003_x264/seg_0013
